ano,cnpj
2023,5939112000126
2023,5939165000147
2023,5939263000184
2023,5939266000118
2023,5939331000105
2023,5939451000102
2023,5939455000190
2023,5939467000115
2023,5939471000183
2023,5939484000152
2023,5939533000157
2023,5939657000132
2023,5939758000103
2023,5939969000146
2023,5940084000167
2023,5940203000181
2023,5940384000146
2023,5940706000157
2023,5940778000102
2023,5940880000108
2023,5940894000113
2023,5941045000184
2023,5941145000100
2023,5941244000192
2023,5941330000103
2023,5941376000114
2023,5941543000127
2023,5941700000102
2023,5941934000141
2023,5942509000177
2023,5942696000199
2023,5942733000169
2023,5942761000186
2023,5942847000109
2023,5942930000188
2023,5943056000101
2023,5943130000181
2023,5943174000101
2023,5943248000100
2023,5943333000178
2023,5943338000109
2023,5943400000154
2023,5943693000170
2023,5943754000107
2023,5943917000143
2023,5943957000276
2023,5944312000177
2023,5944364000143
2023,5944395000102
2023,5944471000171
2023,5944512000120
2023,5944604000100
2023,5945168000193
2023,5945368000146
2023,5945433000133
2023,5945763000129
2023,5945825000100
2023,5945932000120
2023,5946184000109
2023,5946250000132
2023,5946499000148
2023,5946524000193
2023,5946805000146
2023,5947117000109
2023,5947352000172
2023,5947370000154
2023,5947475000103
2023,5947612000100
2023,5947922000124
2023,5947944000194
2023,5948057000130
2023,5948524000122
2023,5948553000194
2023,5948700000126
2023,5948733000176
2023,5948965000124
2023,5948981000389
2023,5949009000167
2023,5949129000164
2023,5949233000159
2023,5949336000119
2023,5949470000110
2023,5949608000180
2023,5949641000100
2023,5949713000110
2023,5949754000106
2023,5949788000109
2023,5949818000179
2023,5949989000106
2023,5950060000199
2023,5950244000159
2023,5950290000158
2023,5950416000194
2023,5950723000175
2023,5950799000109
2023,5950849000140
2023,5951301000114
2023,5951356000124
2023,5951362000181
2023,5951386000130
2023,5951499000136
2023,5951749000138
2023,5951758000129
2023,5951831000162
2023,5951912000162
2023,5952001000150
2023,5952249000110
2023,5952305000117
2023,5952377000164
2023,5952462000122
2023,5952467000155
2023,5952491000194
2023,5952565000354
2023,5952631000124
2023,5952830000132
2023,5952900000152
2023,5952971000155
2023,5953099000160
2023,5953166000146
2023,5953543000147
2023,5953553000182
2023,5953564000162
2023,5953630000102
2023,5953714000138
2023,5953723000129
2023,5954049000105
2023,5954306000109
2023,5954407000171
2023,5954468000139
2023,5954677000182
2023,5954738000101
2023,5954751000160
2023,5954825000169
2023,5955099000107
2023,5955238000194
2023,5955294000129
2023,5955701000106
2023,5955846000107
2023,5955849000132
2023,5955872000127
2023,5956109000110
2023,5956212000160
2023,5956304000140
2023,5956507000137
2023,5956581000153
2023,5956648000150
2023,5956801000149
2023,5956914000144
2023,5957003000131
2023,5957034000192
2023,5957083000125
2023,5957149000187
2023,5957174000160
2023,5957233000109
2023,5957403000147
2023,5957629000148
2023,5957717000140
2023,5957732000198
2023,5957878000133
2023,5957995000105
2023,5958002000101
2023,5958014000136
2023,5958128000186
2023,5958131000108
2023,5958169000172
2023,5958333000141
2023,5958338000174
2023,5958357000109
2023,5958411000108
2023,5958416000130
2023,5958565000108
2023,5958666000170
2023,5958736000190
2023,5958813000102
2023,5958971000162
2023,5958978000184
2023,5958982000142
2023,5959006000104
2023,5959035000176
2023,5959050000114
2023,5959091000100
2023,5959164000164
2023,5959186000124
2023,5959202000189
2023,5959240000131
2023,5959243000175
2023,5959421000168
2023,5959479000101
2023,5959604000183
2023,5959931000135
2023,5960053000178
2023,5960071000150
2023,5960415000120
2023,5960589000193
2023,5960876000101
2023,5960902000193
2023,5961048000180
2023,5961226000172
2023,5961400000187
2023,5961536000197
2023,5961671000132
2023,5962037000114
2023,5962073000188
2023,5962119000169
2023,5962427000194
2023,5962669000188
2023,5962670000102
2023,5962676000180
2023,5962794000198
2023,5962917000190
2023,5963169000160
2023,5963175000118
2023,5963456000170
2023,5963469000140
2023,5963540000194
2023,5963553000163
2023,5963797000146
2023,5964113000120
2023,5964140000101
2023,5964158000103
2023,5964189000156
2023,5964537000195
2023,5964676000119
2023,5964784000191
2023,5964962000184
2023,5965100000176
2023,5965230000109
2023,5965467000190
2023,5965546000109
2023,5965548000190
2023,5965612000132
2023,5965693000170
2023,5965956000141
2023,5966141000187
2023,5966165000136
2023,5966432000175
2023,5967102000102
2023,5967403000128
2023,5967466000184
2023,5967479000153
2023,5967594000128
2023,5968024000152
2023,5968039000110
2023,5968042000134
2023,5968228000193
2023,5968294000163
2023,5968298000141
2023,5968355000192
2023,5968517000192
2023,5968600000161
2023,5968827000107
2023,5968834000109
2023,5969033000168
2023,5969071000110
2023,5969186000105
2023,5969413000100
2023,5969789000107
2023,5969828000176
2023,5969917000112
2023,5969945000130
2023,5969980000159
2023,5970060000150
2023,5970095000190
2023,5970357000116
2023,5970451000175
2023,5970493000106
2023,5970600000104
2023,5970806000126
2023,5970866000149
2023,5970906000152
2023,5971166000179
2023,5971167000113
